theme,question,reponse_correcte,reponse_fausse_1,reponse_fausse_2,reponse_fausse_3,explication_scientifique,source_fiable
Précambrien,"Comment s'appelle la toute première époque de la Terre, ce chaos de roche en fusion bombardé d'astéroïdes ?","L'Hadéen","L'Archéen","Le Protérozoïque","Le Cambrien","Le dossier ouvre le grand livre de la Terre sur l'Hadéen : la planète n'est qu'un océan de roche en fusion bombardé par des astéroïdes, époque où naît aussi la Lune.","Dossier ECI — Résumé des Ères"
Précambrien,"Selon le dossier, à quel moment et où la vie microscopique apparaît-elle pour la première fois ?","À l'Archéen, vers -3,8 milliards d'années, dans l'obscurité des abysses","À l'Hadéen, dans les océans de magma","Au Cambrien, sur les plages","Au Quaternaire, dans les glaciers","Le dossier situe l'apparition de la vie à l'Archéen, vers -3,8 milliards d'années, quand la chimie devient organique dans l'obscurité des abysses ; elle est alors microscopique et unicellulaire.","Dossier ECI — Résumé des Ères"
Temps profond,"Quelle part de l'histoire de la Terre le Précambrien occupe-t-il, selon la frise des proportions réelles ?","Environ 88 %","Environ 50 %","Environ 25 %","Environ 4 %","La frise du dossier montre que le Précambrien occupe environ 88 % de l'histoire de la Terre, contre 6,3 % pour le Paléozoïque, 4 % pour le Mésozoïque et 1,4 % pour le Cénozoïque.","Dossier ECI — Résumé des Ères"
Paléozoïque,"Que se passe-t-il pour la vie marine pendant le Silurien et le Dévonien ?","Elle se dote de vertèbres et les poissons se diversifient","Elle disparaît presque entièrement","Elle quitte définitivement l'eau","Elle invente la photosynthèse","Le dossier indique que pendant le Silurien et le Dévonien, la vie marine se dote de vertèbres et les poissons se diversifient, avant que des pionniers s'aventurent hors de l'eau.","Dossier ECI — Résumé des Ères"
Paléozoïque,"Qui s'aventure le premier hors de l'eau pour conquérir la terre ferme ?","D'abord des plantes et des champignons, puis des arthropodes","D'abord les dinosaures","D'abord les mammifères","D'abord les oiseaux","Le dossier raconte que des pionniers audacieux — d'abord des plantes et des champignons, puis des arthropodes — s'aventurent hors de l'eau, suivis par les premiers tétrapodes.","Dossier ECI — Résumé des Ères"
Paléozoïque,"Quel supercontinent unique se forme à la fin du Paléozoïque, au Permien ?","La Pangée","Rodinia","Pannotia","Le Gondwana","Le dossier explique que l'ère se termine au Permien avec la formation de la Pangée, un supercontinent unique, juste avant l'extinction Permien-Trias.","Dossier ECI — Résumé des Ères"
Mésozoïque,"Au Jurassique, qui chasse les ammonites dans les océans ?","Des reptiles marins comme les plésiosaures","Les premiers requins blancs","Les baleines","Les pingouins géants","Le dossier décrit qu'au Jurassique, tandis que les sauropodes colonisent les continents, les reptiles marins comme les plésiosaures chassent les ammonites dans les océans.","Dossier ECI — Résumé des Ères"
Mésozoïque,"Selon l'horloge de 24 heures, de quelle heure à quelle heure les dinosaures dominent-ils le monde ?","De 22h40 à 23h39","De 4h à 21h","De midi à minuit","De 23h58 à minuit","Le dossier précise que, ramenés à une journée de 24 heures, les dinosaures ne dominent le monde qu'à partir de 22h40 pour disparaître brusquement à 23h39.","Dossier ECI — Résumé des Ères"
Cénozoïque,"Que remplacent les plaines de graminées pendant le Cénozoïque ?","Les vieilles forêts denses, favorisant les grands herbivores","Les océans peu profonds","Les déserts de l'Édiacarien","Les tapis microbiens","Le dossier indique que les plaines de graminées remplacent les vieilles forêts denses, ce qui favorise l'apparition des grands herbivores et de leurs prédateurs.","Dossier ECI — Résumé des Ères"
Anti-intox,"Dans le sketch anti-intox, que seraient les oiseaux d'après les théories complotistes moquées ?","Des drones espions rechargeables sur les lignes à haute tension","De simples illusions d'optique","Des projecteurs LED","Des animaux importés par la NASA","Le narrateur tourne en dérision l'idée complotiste selon laquelle les oiseaux ne seraient pas des animaux mais des drones espions rechargeables sur les lignes à haute tension — avant de rappeler que la réalité scientifique se vérifie.","Dossier ECI — Résumé des Ères"
