theme,question,reponse_correcte,reponse_fausse_1,reponse_fausse_2,reponse_fausse_3,explication_scientifique,source_fiable
Lanceur,"Quelle est la poussée totale approximative du SLS Block 1 au décollage ?","Environ 39 000 kN (près de 8,8 millions de livres-force)","Environ 2 280 kN","Environ 100 kN","Environ 500 000 kN","La poussée totale du SLS Block 1 au décollage atteint environ 39 000 kN (soit près de 8,8 millions de livres-force), en additionnant les quatre RS-25 et les deux boosters à propergol solide.","NASA — Space Launch System"
Lanceur,"À quelles températures sont stockés les ergols cryogéniques du SLS ?","L'hydrogène liquide à environ –253 °C et l'oxygène liquide à environ –183 °C","Tous deux à 0 °C","L'hydrogène à +100 °C et l'oxygène à –40 °C","Tous deux à –273 °C, le zéro absolu","Le SLS brûle de l'hydrogène liquide (LH2) stocké à environ –253 °C et de l'oxygène liquide (LOX) à environ –183 °C. Ces températures extrêmes maintiennent les ergols à l'état liquide pour la combustion.","NASA — Space Launch System"
Lanceur,"À quoi sert le déluge d'eau d'environ 1,1 million de litres par minute au décollage ?","À amortir le bruit et les ondes de choc qui pourraient endommager la fusée","À refroidir le carburant dans les réservoirs","À éteindre un incendie systématique au décollage","À nettoyer le pas de tir après le lancement","Le système de suppression du son déverse environ 1,1 million de litres d'eau par minute sur le pas de tir LC-39B pour amortir les ondes acoustiques et les vibrations intenses qui, sans cela, pourraient endommager la fusée et sa charge utile.","NASA — Kennedy Space Center Launch Complex 39"
Physique du vol,"Quelle vitesse faut-il atteindre pour se maintenir en orbite basse terrestre (LEO) ?","Environ 7,8 km/s","Environ 1,2 km/s","Environ 11,2 km/s","Environ 40 km/s","La vitesse orbitale en orbite basse terrestre est d'environ 7,8 km/s. C'est la vitesse horizontale nécessaire pour qu'un objet 'tombe' continuellement autour de la Terre sans retomber au sol.","Audit ECI — Dossier III Artemis II"
Physique du vol,"Quelle est la vitesse de libération de la Terre, nécessaire pour s'en échapper ?","Environ 11,2 km/s","Environ 3,1 km/s","Environ 7,8 km/s","Environ 28 km/s","La vitesse de libération terrestre est d'environ 11,2 km/s : c'est la vitesse minimale pour échapper à l'attraction gravitationnelle de la Terre sans propulsion supplémentaire.","Audit ECI — Dossier III Artemis II"
Physique du vol,"Quel surplus de vitesse (delta-v) est nécessaire pour l'injection translunaire vers la Lune ?","Environ 3,1 km/s","Environ 11,2 km/s","Environ 0,5 km/s","Environ 25 km/s","Depuis l'orbite basse, il faut un delta-v d'environ 3,1 km/s pour réaliser l'injection translunaire (TLI) qui place le vaisseau sur une trajectoire vers la Lune.","Audit ECI — Dossier III Artemis II"
La Lune,"Où trouve-t-on des réserves de glace d'eau sur la Lune ?","Dans les cratères en ombre permanente du pôle Sud","Dans les mers basaltiques de la face visible","Sous la surface de la face cachée, près de l'équateur","Dans l'atmosphère lunaire","La glace d'eau se concentre dans les cratères en ombre permanente (PSR) des régions polaires, notamment au pôle Sud, où le fond des cratères n'est jamais éclairé par le Soleil et reste extrêmement froid.","NASA — Moon water and ices (science.nasa.gov)"
La Lune,"Quelles missions ont confirmé la présence de glace d'eau aux pôles lunaires ?","Chandrayaan-1, LCROSS et LRO","Apollo 11 et Apollo 17","Voyager 1 et Voyager 2","Curiosity et Perseverance","La présence de glace d'eau aux pôles a été établie par Chandrayaan-1 (Moon Mineralogy Mapper, 2008-2009), LCROSS (impact dans le cratère Cabeus en 2009, détectant de l'eau dans le panache) et LRO (cartographie de l'hydrogène).","NASA — LCROSS ; Wikipédia — LCROSS"
La Lune,"Par électrolyse, en quoi peut-on transformer la glace d'eau lunaire ?","En hydrogène et oxygène, utilisables comme ergols et pour respirer","En méthane et azote","En hélium-3 pour la fusion","En carburant solide pour boosters","L'électrolyse sépare l'eau (H2O) en hydrogène et oxygène. Le rapport massique est d'environ 0,11 kg de H2 et 0,89 kg de O2 par kilo d'eau. Ces gaz servent d'ergols (carburant + comburant) et l'oxygène à la respiration : c'est l'idée de l'ISRU, l'utilisation des ressources in situ.","Audit ECI — Dossier III Artemis II"
Programme Artemis,"Selon la nouvelle architecture de la NASA, que sera la mission Artemis III ?","Un test de rendez-vous et d'amarrage en orbite basse terrestre (LEO), pas l'alunissage","Le premier alunissage au pôle Sud lunaire","Une mission vers Mars","Le déploiement de la station Gateway","En février 2026, la NASA a annoncé qu'Artemis III ne serait plus un alunissage mais une démonstration de rendez-vous et d'amarrage d'Orion avec les atterrisseurs commerciaux en orbite basse terrestre (cible fin 2027). Le premier alunissage habité est reporté à Artemis IV.","NASA — NASA adds mission to Artemis lunar program"
Programme Artemis,"Quelle mission est désormais prévue pour le premier alunissage habité au pôle Sud ?","Artemis IV, vers 2028","Artemis II, en 2026","Artemis I, en 2022","Apollo 18, en 2027","Avec la nouvelle architecture de février 2026, le premier alunissage habité au pôle Sud lunaire est reporté à Artemis IV (cible 2028), Artemis III devenant une mission de démonstration en orbite basse.","NASA — Artemis architecture update ; Wikipédia — Artemis III"
Programme Artemis,"Combien de pays ont signé les Accords Artemis (au 7 mai 2026) ?","67 signataires","8 signataires","193 signataires","26 signataires","Au 7 mai 2026, avec l'adhésion du Paraguay, les Accords Artemis comptent 67 pays signataires. Lancés le 13 octobre 2020 par 8 nations fondatrices, ils fixent des principes pour l'exploration pacifique de la Lune.","NASA — Artemis Accords ; Wikipédia — Artemis Accords"
Programme Artemis,"Quel pays a rejoint les Accords Artemis le 7 mai 2026, portant le total à 67 ?","Le Paraguay","La Chine","La Russie","La Corée du Nord","Le Paraguay a rejoint les Accords Artemis le 7 mai 2026, devenant le 67e signataire. La Chine et la Russie, elles, ne sont pas signataires et développent leur propre programme.","NASA — Artemis Accords"
Histoire spatiale,"Qui fut le dernier homme à marcher sur la Lune, et lors de quelle mission ?","Gene Cernan, lors d'Apollo 17 en décembre 1972","Neil Armstrong, lors d'Apollo 11 en 1969","Buzz Aldrin, lors d'Apollo 12 en 1969","Jim Lovell, lors d'Apollo 13 en 1970","Eugene 'Gene' Cernan, commandant d'Apollo 17 (décembre 1972), est le dernier homme à avoir marché sur la Lune. Plus aucun humain n'y est retourné depuis, jusqu'au survol d'Artemis II.","NASA — Apollo 17 (nasa.gov/mission/apollo-17)"
Histoire spatiale,"Combien d'alunissages habités le programme Apollo a-t-il réussis, et entre quelles années ?","Six alunissages, entre 1969 et 1972","Un seul alunissage, en 1969","Douze alunissages, entre 1961 et 1975","Trois alunissages, entre 1972 et 1975","Le programme Apollo a réussi six alunissages habités (Apollo 11, 12, 14, 15, 16 et 17) entre 1969 et 1972. Apollo 13 n'a pas pu se poser à la suite d'une avarie.","NASA — Apollo 17"
Histoire spatiale,"Quel document a relancé en 2017 le retour des États-Unis vers la Lune ?","La Space Policy Directive 1, signée le 11 décembre 2017","Le traité de l'espace de 1967","Les Accords Artemis de 2020","La directive Apollo de 1961","La Space Policy Directive 1, signée le 11 décembre 2017 par l'administration Trump, a officiellement réorienté l'effort spatial américain vers un retour habité sur la Lune. Le programme Artemis a pris forme en 2019-2020.","Wikipédia — Space Policy Directive 1"
Géopolitique spatiale,"Quel projet de base lunaire la Chine et la Russie développent-elles ?","L'ILRS (International Lunar Research Station), visée pour les années 2030","La station Gateway","Les Accords Artemis","Le programme Apollo-Soyouz","La Chine et la Russie développent ensemble l'ILRS (International Lunar Research Station), une station de recherche au pôle Sud lunaire visée pour les années 2030. La Chine vise un alunissage habité avant 2030 et n'a pas signé les Accords Artemis.","Wikipédia — International Lunar Research Station"
Géopolitique spatiale,"Quelle mission chinoise a réalisé le premier atterrissage sur la face cachée de la Lune ?","Chang'e-4, en 2019","Chang'e-5, en 2020","Apollo 8, en 1968","Luna 2, en 1959","Chang'e-4 a réalisé en 2019 le premier atterrissage en douceur sur la face cachée de la Lune. Chang'e-5, en 2020, a quant à elle rapporté des échantillons lunaires sur Terre.","NASA — Artemis Accords ; Wikipédia — Chang'e-4"
Anti-intox,"Comment le dossier qualifie-t-il les projections économiques comme « 1 000 milliards $ d'ici 2040 » ou un « ROI de 10:1 » ?","Des modélisations et estimations, pas des faits mesurés","Des données officielles certifiées par la NASA","Des montants déjà dépensés et vérifiés","Des chiffres inventés sans aucun fondement","L'audit ECI souligne que ces projections économiques de long terme sont des modélisations et estimations présentées comme telles, et non des données mesurées : à ne pas survendre comme des faits établis, contrairement aux faits centraux de la mission, eux confirmés.","Audit ECI — Dossier III Artemis II (Synthèse)"
Anti-intox,"Que conclut l'audit scientifique du dossier Artemis II quant à son exactitude factuelle ?","Les faits centraux sont tous confirmés et le dossier est remarquablement à jour","Le dossier contient de nombreuses erreurs graves","Toutes les données sont inventées","La mission Artemis II n'a jamais eu lieu","L'audit conclut que le dossier est factuellement très solide et à jour : équipage, vol effectif d'Artemis II, lanceur SLS/Orion, glace polaire, histoire Apollo et nouvelle architecture Artemis sont confirmés par des sources autoritatives, sans aucun fait erroné identifié.","Audit ECI — Dossier III Artemis II (Synthèse)"
